Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-February-2022,5.30,5.30,5.30,5.30,5.300000000000000000,200,1,1060.00,200,100.00,0.00,0.00
24-January-2022,5.06,5.06,5.06,5.06,5.060000000000000000,100,1,506.00,100,100.00,0.00,0.00
9-December-2019,5.88,5.88,5.32,5.32,5.600000000000000000,200,2,1120.00,200,100.00,0.56,-0.56
6-December-2019,5.60,5.60,5.60,5.60,5.600000000000000000,100,1,560.00,100,100.00,0.00,0.00
10-July-2018,5.38,5.38,5.38,5.38,5.380000000000000000,700,4,3766.00,700,100.00,0.00,0.00
22-May-2018,5.66,5.66,5.66,5.66,5.660000000000000000,500,1,2830.00,500,100.00,0.00,0.00
8-May-2018,5.95,5.95,5.95,5.95,5.950000000000000000,100,1,595.00,100,100.00,0.00,0.00
7-May-2018,6.22,6.22,6.22,6.22,6.220000000000000000,100,1,622.00,100,100.00,0.00,0.00
4-May-2018,5.93,5.93,5.93,5.93,5.930000000000000000,300,3,1779.00,300,100.00,0.00,0.00
3-May-2018,5.65,5.65,5.65,5.65,5.650000000000000000,1100,4,6215.00,1100,100.00,0.00,0.00
2-May-2018,5.39,5.39,5.39,5.39,5.390000000000000000,300,3,1617.00,300,100.00,0.00,0.00
27-April-2018,5.14,5.14,5.14,5.14,5.140000000000000000,700,1,3598.00,700,100.00,0.00,0.00
13-April-2018,4.90,4.90,4.90,4.90,4.900000000000000000,700,1,3430.00,700,100.00,0.00,0.00
27-March-2018,4.69,4.69,4.69,4.69,4.690000000000000000,4500,1,21105.00,4500,100.00,0.00,0.00
28-February-2018,4.47,4.47,4.47,4.47,4.470000000000000000,400,2,1788.00,400,100.00,0.00,0.00
19-February-2018,4.47,4.47,4.47,4.47,4.470000000000000000,300,1,1341.00,300,100.00,0.00,0.00
12-January-2018,4.47,4.47,4.47,4.47,4.470000000000000000,300,1,1341.00,300,100.00,0.00,0.00
27-December-2017,4.47,4.47,4.47,4.47,4.470000000000000000,100,1,447.00,100,100.00,0.00,0.00
6-December-2017,4.70,4.70,4.70,4.70,4.700000000000000000,400,1,1880.00,400,100.00,0.00,0.00
28-November-2017,4.70,4.70,4.70,4.70,4.700000000000000000,500,1,2350.00,500,100.00,0.00,0.00
6-November-2017,4.70,4.70,4.70,4.70,4.700000000000000000,500,1,2350.00,500,100.00,0.00,0.00
7-September-2017,4.70,4.70,4.70,4.70,4.700000000000000000,6000,1,28200.00,6000,100.00,0.00,0.00
31-August-2017,4.50,4.50,4.50,4.50,4.500000000000000000,3000,1,13500.00,,,0.00,0.00
14-August-2017,4.58,4.58,4.58,4.58,4.580000000000000000,1300,5,5954.00,1300,100.00,0.00,0.00
24-May-2017,4.37,4.37,4.37,4.37,4.370000000000000000,500,1,2185.00,500,100.00,0.00,0.00
23-May-2017,4.60,4.60,4.60,4.60,4.600000000000000000,600,1,2760.00,600,100.00,0.00,0.00
21-April-2017,4.39,4.39,4.39,4.39,4.390000000000000000,1000,3,4390.00,1000,100.00,0.00,0.00
18-April-2017,4.19,4.19,4.19,4.19,4.190000000000000000,500,1,2095.00,500,100.00,0.00,0.00
